symbol	locus_name	acc_number	swiss-prot	sgd	sequence_length	3d	chromosome
DBP2	YNL112W	P24783	DBP2_YEAST	S000005056	546	14	
DBP3	YGL078C	P20447	DBP3_YEAST	S000003046	523	7	
DBP5;RAT8	YOR046C	P20449	DBP5_YEAST	S000005572	482	(3)	15
DBP6	YNR038W	P53734	DBP6_YEAST	S000005321	629	14	
DBP7	YKR024C	P36120	DBP7_YEAST	S000001732	742	11	
DBP8	YHR169W	P38719	DBP8_YEAST	S000001212	431	8	
DBP9	YLR276C	Q06218	DBP9_YEAST	S000004266	594	12	
DBR1;PRP26	YKL149C	P24309	DBR1_YEAST	S000001632	405	11	
DCC1	YCL016C	P25559	DCC1_YEAST	S000000521	380	3	
DCD1	YHR144C	P06773	DCTD_YEAST	S000001187	312	8	
DCG1	YIR030C	P32460	DCG1_YEAST	S000001469	244	9	
DCI1;ECI2;EHD2	YOR180C	Q08558	DCI1_YEAST	S000005706	271	15	
DCN1	YLR128W	Q12395	DCN1_YEAST	S000004118	269	(3)	12
DCP1	YOL149W	Q12517	DCP1_YEAST	S000005509	231	(3)	15
DCP2;PSU1	YNL118C	P53550	DCP2_YEAST	S000005062	970	(3)	14
DCR2	YLR361C	Q05924	DCR2_YEAST	S000004353	578	12	
DCS1	YLR270W	Q06151	DCPS_YEAST	S000004260	350	(3)	12
DCS2	YOR173W	Q12123	DCS2_YEAST	S000005699	353	15	
DCV1	YFR012W	P43595	DCV1_YEAST	S000001908	202	6	
DCW1	YKL046C	P36091	DCW1_YEAST	S000001529	449	11	
DDC1	YPL194W	Q08949	DDC1_YEAST	S000006115	612	16	
DDI1;VSM1	YER143W	P40087	DDI1_YEAST	S000000945	428	(3)	5
DDI2	YFL061W	P0CH63	DDI2_YEAST	S000001833	225	6	
DDI3	YNL335W	P0CH64	DDI3_YEAST	S000005279	225	14	
DDP1	YOR163W	Q99321	DDP1_YEAST	S000005689	188	15	
DDR2	YOL052C-A	P89113	DDR2_YEAST	S000005413	61	15	
DDR48;FSP	YMR173W	P18899	DDR48_YEAST	S000004784	430	13	
DED1;SPP81	YOR204W	P06634	DED1_YEAST	S000005730	604	15	
DED81	YHR019C	P38707	SYNC_YEAST	S000001061	554	8	
DEF1;RIP1;VID31	YKL054C	P35732	DEF1_YEAST	S000001537	738	11	
DEG1;HRM3;PUS3	YFL001W	P31115	PUS3_YEAST	S000001895	442	6	
DEP1;FUN54	YAL013W	P31385	DEP1_YEAST	S000000011	405	1	
DER1	YBR201W	P38307	DER1_YEAST	S000000405	211	2	
DET1	YDR051C	Q99288	DET1_YEAST	S000002458	334	4	
DFG10	YIL049W	P40526	DFG10_YEAST	S000001311	253	9	
DFG16;ECM41;ZRG11	YOR030W	Q99234	DFG16_YEAST	S000005556	619	15	
DFG5	YMR238W	Q05031	DFG5_YEAST	S000004851	458	13	
DFM1	YDR411C	Q12743	DFM1_YEAST	S000002819	341	4	
DFR1	YOR236W	P07807	DYR_YEAST	S000005762	211	15	
DGA1	YOR245C	Q08650	DGAT2_YEAST	S000005771	418	15	
DGK1;HSD1	YOR311C	Q12382	DGK1_YEAST	S000005838	290	15	
DGR1	YNL130C-A	Q3E808	DGR1_YEAST	S000028579	48	14	
DGR2	YKL121W	P32330	DGR2_YEAST	S000001604	852	11	
DHH1	YDL160C	P39517	DHH1_YEAST	S000002319	506	(3)	4
DHR2	YKL078W	P36009	DHR2_YEAST	S000001561	735	11	
DIA1	YMR316W	P54005	DIA1_YEAST	S000004935	336	13	
DIA2	YOR080W	Q08496	DIA2_YEAST	S000005606	732	15	
DIA3	YDL024C	P52290	PPAD_YEAST	S000002182	468	4	
DIA4	YHR011W	P38705	SYSM_YEAST	S000001053	446	8	
DIB1;CDH1;SNU16	YPR082C	Q06819	DIB1_YEAST	S000006286	143	(3)	16
DIC1	YLR348C	Q06143	DIC1_YEAST	S000004340	298	12	
DID2;CHM1;FTI1;VPS46	YKR035W-A	P69771	DID2_YEAST	S000006435	204	(3)	11
DID4;CHM2;GRD7;REN1;VPL2;VPS2;VPT14	YKL002W	P36108	DID4_YEAST	S000001485	232	(3)	11
DIE2;ALG10	YGR227W	P50076	ALG10_YEAST	S000003459	525	7	
DIF1	YLR437C	O13577	DIF1_YEAST	S000004429	133	12	
DIG1;RST1	YPL049C	Q03063	DIG1_YEAST	S000005970	452	16	
DIG2;RST2	YDR480W	Q03373	DIG2_YEAST	S000002888	323	4	
DIM1	YPL266W	P41819	DIM1_YEAST	S000006187	318	16	
DIN7;DIN3	YDR263C	Q12086	DIN7_YEAST	S000002671	430	4	
DIP2;UTP12	YLR129W	Q12220	UTP12_YEAST	S000004119	943	12	
DIP5	YPL265W	P53388	DIP5_YEAST	S000006186	608	16	
DIS3;RRP44	YOL021C	Q08162	RRP44_YEAST	S000005381	1001	(3)	15
DIT1	YDR403W	P21623	DIT1_YEAST	S000002811	536	4	
DIT2;CYP56	YDR402C	P21595	CP56_YEAST	S000002810	489	4	
DJP1;ICS1;PAS22	YIR004W	P40564	DJP1_YEAST	S000001443	432	9	
DLD1;DLD	YDL174C	P32891	DLD1_YEAST	S000002333	587	4	
DLD2;AIP2	YDL178W	P46681	DLD2_YEAST	S000002337	530	4	
DLD3	YEL071W	P39976	DLD3_YEAST	S000000797	496	5	
DLS1	YJL065C	P40366	DLS1_YEAST	S000003601	167	10	
DLT1	YMR126C	Q04216	DLT1_YEAST	S000004733	342	13	
DMA1;CHF1	YHR115C	P38823	DMA1_YEAST	S000001157	416	8	
DMA2;CHF2	YNL116W	P53924	DMA2_YEAST	S000005060	522	14	
DMC1;ISC2	YER179W	P25453	DMC1_YEAST	S000000981	334	5	
DML1	YMR211W	Q03652	DML1_YEAST	S000004824	475	13	
DNA2	YHR164C	P38859	DNA2_YEAST	S000001207	1522	(3)	8
DNF1	YER166W	P32660	ATC5_YEAST	S000000968	1571	5	
DNF2	YDR093W	Q12675	ATC4_YEAST	S000002500	1612	4	
DNF3	YMR162C	Q12674	ATC8_YEAST	S000004772	1656	13	
DNL4;LIG4	YOR005C	Q08387	DNLI4_YEAST	S000005531	944	(3)	15
DNM1	YLL001W	P54861	DNM1_YEAST	S000003924	757	12	
DOA1;UFD3;ZZZ4	YKL213C	P36037	DOA1_YEAST	S000001696	715	(3)	11
DOA4;DOS1;MUT4;NPI2;SSV7;UBP4	YDR069C	P32571	UBP4_YEAST	S000002476	926	4	
DOC1;APC10	YGL240W	P53068	APC10_YEAST	S000003209	250	(3)	7
DOG1	YHR044C	P38774	DOG1_YEAST	S000001086	246	8	
DOG2	YHR043C	P38773	DOG2_YEAST	S000001085	246	8	
DOM34	YNL001W	P33309	DOM34_YEAST	S000004946	386	(3)	14
DON1	YDR273W	Q05610	DON1_YEAST	S000002681	365	4	
DOP1	YDR141C	Q03921	DOP1_YEAST	S000002548	1698	4	
DOS2	YDR068W	P54858	DOS2_YEAST	S000002475	310	4	
DOT1;KMT4;PCH1	YDR440W	Q04089	DOT1_YEAST	S000002848	582	(3)	4
DOT5	YIL010W	P40553	DOT5_YEAST	S000001272	215	(3)	9
DOT6;PBF2	YER088C	P40059	DOT6_YEAST	S000000890	670	5	
DPB11	YJL090C	P47027	DPB11_YEAST	S000003626	764	10	
DPB2	YPR175W	P24482	DPB2_YEAST	S000006379	689	16	
DPB3	YBR278W	P27344	DPB3_YEAST	S000000482	201	2	
DPB4	YDR121W	Q04603	DPB4_YEAST	S000002528	196	4	
DPH1	YIL103W	P40487	DPH1_YEAST	S000001365	425	9	
DPH2	YKL191W	P32461	DPH2_YEAST	S000001674	534	11	
DPH5	YLR172C	P32469	DPH5_YEAST	S000004162	300	12	
DPH6	YLR143W	Q12429	DPH6_YEAST	S000004133	685	12	
DPL1;BST1	YDR294C	Q05567	SGPL_YEAST	S000002702	589	(3)	4
DPM1;SED3	YPR183W	P14020	DPM1_YEAST	S000006387	267	16	
DPP1;ZRG1	YDR284C	Q05521	DPP1_YEAST	S000002692	289	4	
DPS1;APS;APS1	YLL018C	P04802	SYDC_YEAST	S000003941	557	(3)	12
DRE2	YKR071C	P36152	DRE2_YEAST	S000001779	348	(3)	11
DRN1	YGR093W	P53255	DRN1_YEAST	S000003325	507	7	
DRS1	YLL008W	P32892	DRS1_YEAST	S000003931	752	12	
DRS2	YAL026C	P39524	ATC3_YEAST	S000000024	1355	1	
DSD1	YGL196W	P53095	DSD1_YEAST	S000003164	428	7	
DSE1	YER124C	P40077	DSE1_YEAST	S000000926	573	5	
DSE2	YHR143W	P38844	DSE2_YEAST	S000001186	325	8	
DSE3	YOR264W	Q08729	DSE3_YEAST	S000005790	430	15	
DSE4;ENG1	YNR067C	P53753	ENG1_YEAST	S000005350	1117	14	
DSF1	YEL070W	P0CX08	DSF1_YEAST	S000000796	502	5	
DSF2	YBR007C	P38213	DSF2_YEAST	S000000211	736	2	
DSK2;SHE4	YMR276W	P48510	DSK2_YEAST	S000004889	373	(3)	13
DSL1	YNL258C	P53847	DSL1_YEAST	S000005202	754	(3)	14
DSN1	YIR010W	P40568	DSN1_YEAST	S000001449	576	9	
DSS1;MSU1	YMR287C	P39112	DSS1_YEAST	S000004900	969	13	
DSS4	YPR017C	P32601	DSS4_YEAST	S000006221	143	16	
DST1;PPR2	YGL043W	P07273	TFS2_YEAST	S000003011	309	(3)	7
DTD1	YDL219W	Q07648	DTD_YEAST	S000002378	150	4	
DTR1	YBR180W	P38125	DTR1_YEAST	S000000384	572	2	
DUG1	YFR044C	P43616	DUG1_YEAST	S000001940	481	(3)	6
DUG2	YBR281C	P38149	DUG2_YEAST	S000000485	878	2	
DUG3	YNL191W	P53871	DUG3_YEAST	S000005135	357	14	
DUN1	YDL101C	P39009	DUN1_YEAST	S000002259	513	(3)	4
DUO1	YGL061C	P53168	DUO1_YEAST	S000003029	247	7	
DUR1,2	YBR208C	P32528	DUR1_YEAST	S000000412	1835	2	
DUR3	YHL016C	P33413	DUR3_YEAST	S000001008	735	8	
DUS1	YML080W	P53759	DUS1_YEAST	S000004545	423	13	
DUS3	YLR401C	Q06053	DUS3_YEAST	S000004393	668	12	
DUS4	YLR405W	Q06063	DUS4_YEAST	S000004397	367	12	
DUT1	YBR252W	P33317	DUT_YEAST	S000000456	147	(3)	2
DXO1	YDR370C	Q06349	DXO1_YEAST	S000002778	442	4	
DYN1;DHC1	YKR054C	P36022	DYHC_YEAST	S000001762	4092	(3)	11
DYN2;SLC1	YDR424C	Q02647	DYL1_YEAST	S000002832	92	(3)	4
DYN3	YMR299C	Q04949	DYN3_YEAST	S000004914	312	13	
DYS1	YHR068W	P38791	DHYS_YEAST	S000001110	387	8	
EAF1;VID21	YDR359C	Q06337	EAF1_YEAST	S000002767	982	4	
EAF3	YPR023C	Q12432	EAF3_YEAST	S000006227	401	(3)	16
EAF5	YEL018W	P39995	EAF5_YEAST	S000000744	279	5	
EAF6	YJR082C	P47128	EAF6_YEAST	S000003842	113	10	
EAF7	YNL136W	P53911	EAF7_YEAST	S000005080	425	14	
EAP1	YKL204W	P36041	EAP1_YEAST	S000001687	632	11	
EAR1	YMR171C	Q03212	EAR1_YEAST	S000004781	550	13	
EBP2	YKL172W	P36049	EBP2_YEAST	S000001655	427	11	
EBS1	YDR206W	Q03466	EBS1_YEAST	S000002614	884	4	
ECI1	YLR284C	Q05871	ECI1_YEAST	S000004274	280	(3)	12
ECL1	YGR146C	P48235	ECL1_YEAST	S000003378	211	7	
ECM10;SSC3	YEL030W	P39987	HSP7E_YEAST	S000000756	644	5	
ECM11	YDR446W	Q04110	ECM11_YEAST	S000002854	302	4	
ECM12	YHR021W-A	O13529	ECM12_YEAST	S000003531	151	8	
ECM13	YBL043W	P38195	ECM13_YEAST	S000000139	257	2	
ECM14	YHR132C	P38836	ECM14_YEAST	S000001174	430	8	
ECM15	YBL001C	P35195	ECM15_YEAST	S000000097	104	(3)	2
ECM16;DHR1	YMR128W	Q04217	DHR1_YEAST	S000004735	1267	13	
ECM18	YDR125C	Q04623	ECM18_YEAST	S000002532	453	4	
ECM19	YLR390W	Q06011	ECM19_YEAST	S000004382	112	12	
ECM1;SIM1	YAL059W	P39715	ECM1_YEAST	S000000055	212	1	
ECM21	YBL101C	P38167	ECM21_YEAST	S000000197	1117	2	
ECM22	YLR228C	Q05958	ECM22_YEAST	S000004218	814	12	
ECM23;SRD2	YPL021W	Q02710	ECM23_YEAST	S000005942	187	16	
ECM25	YJL201W	P32525	ECM25_YEAST	S000003737	599	10	
ECM27	YJR106W	P47144	ECM27_YEAST	S000003867	725	10	
ECM29	YHL030W	P38737	ECM29_YEAST	S000001022	1868	8	
ECM2;SLT11	YBR065C	P38241	SLT11_YEAST	S000000269	364	(3)	2
ECM3	YOR092W	Q99252	ECM3_YEAST	S000005618	613	15	
ECM30	YLR436C	Q06673	ECM30_YEAST	S000004428	1274	12	
ECM31	YBR176W	P38122	PANB_YEAST	S000000380	312	2	
ECM32;HEL1;MTT1	YER176W	P32644	ECM32_YEAST	S000000978	1121	5	
ECM33	YBR078W	P38248	ECM33_YEAST	S000000282	429	2	
ECM34	YHL043W	P38728	ECM34_YEAST	S000001035	170	8	
ECM38;CIS2	YLR299W	Q05902	ECM38_YEAST	S000004290	660	12	
ECM4;GTO2	YKR076W	P36156	GTO2_YEAST	S000001784	370	11	
ECM5	YMR176W	Q03214	ECM5_YEAST	S000004788	1411	13	
ECM7;ZRG15	YLR443W	Q06200	ECM7_YEAST	S000004435	448	12	
ECM8	YBR076W	P38246	ECM8_YEAST	S000000280	354	2	
ECM9	YKR004C	Q02202	ECM9_YEAST	S000001712	377	11	
ECO1;CTF7	YFR027W	P43605	ECO1_YEAST	S000001923	281	6	
ECT1;MUQ1	YGR007W	P33412	ECT1_YEAST	S000003239	323	7	
EDC1	YGL222C	P53080	EDC1_YEAST	S000003190	175	7	
EDC2	YER035W	P40023	EDC2_YEAST	S000000837	145	5	
EDC3;LSM16	YEL015W	P39998	EDC3_YEAST	S000000741	551	(3)	5
EDE1;BUD15	YBL047C	P34216	EDE1_YEAST	S000000143	1381	(3)	2
EDS1	YBR033W	P38073	EDS1_YEAST	S000000237	919	2	
EEB1	YPL095C	Q02891	MCFS1_YEAST	S000006016	456	16	
EFB1;TEF5	YAL003W	P32471	EF1B_YEAST	S000000003	206	(3)	1
EFG1	YGR271C-A	Q3E705	EFG1P_YEAST	S000007608	233	7	
EFM1	YHL039W	P38732	EFM1_YEAST	S000001031	585	8	
EFM2	YBR271W	P38347	EFM2_YEAST	S000000475	419	2	
EFM3	YJR129C	P47163	EFM3_YEAST	S000003890	339	10	
EFM4;SEE1	YIL064W	P40516	EFM4_YEAST	S000001326	257	9	
EFM5;AML1	YGR001C	P53200	EFM5_YEAST	S000003233	248	7	
EFM6	YNL024C	P53970	EFM6_YEAST	S000004969	246	14	
EFR3	YMR212C	Q03653	EFR3_YEAST	S000004825	782	(3)	13
EFT1	YOR133W	P32324	EF2_YEAST	S000005659	842	(3)	15
EFT2	YDR385W	P32324	EF2_YEAST	S000002793	842	(3)	4
EGD1	YPL037C	Q02642	NACB1_YEAST	S000005958	157	16	
EGD2	YHR193C	P38879	NACA_YEAST	S000001236	174	8	
EGT2	YNL327W	P42835	EGT2_YEAST	S000005271	1041	14	
EHD3;MRP5	YDR036C	P28817	HIBCH_YEAST	S000002443	500	4	
EHT1	YBR177C	P38295	MCFS2_YEAST	S000000381	451	2	
EIS1	YMR031C	Q05050	EIS1_YEAST	S000004633	843	13	
EKI1	YDR147W	Q03764	EKI1_YEAST	S000002554	534	4	
ELA1	YNL230C	P53861	ELOA1_YEAST	S000005174	379	14	
ELC1	YPL046C	Q03071	ELOC_YEAST	S000005967	99	(3)	16
ELF1	YKL160W	P36053	ELF1_YEAST	S000001643	145	11	
ELG1;RTT110	YOR144C	Q12050	ELG1_YEAST	S000005670	791	15	
ELM1	YKL048C	P32801	ELM1_YEAST	S000001531	640	11	
ELO1	YJL196C	P39540	ELO1_YEAST	S000003732	310	10	
ELO2;FEN1;GNS1;VBM2	YCR034W	P25358	ELO2_YEAST	S000000630	347	3	
ELO3;APA1;SRE1;SUR4;VBM1	YLR372W	P40319	ELO3_YEAST	S000004364	345	12	
ELP2;TOT2	YGR200C	P42935	ELP2_YEAST	S000003432	788	(3)	7
ELP3;HPA1;TOT3	YPL086C	Q02908	ELP3_YEAST	S000006007	557	16	
ELP4;HAP1;TOT7	YPL101W	Q02884	ELP4_YEAST	S000006022	456	(3)	16
ELP6;HAP3;TOT6	YMR312W	Q04868	ELP6_YEAST	S000004929	273	(3)	13
EMC1	YCL045C	P25574	EMC1_YEAST	S000000550	760	3	
EMC2	YJR088C	P47133	EMC2_YEAST	S000003848	292	10	
EMC3;AIM27	YKL207W	P36039	EMC3_YEAST	S000001690	253	11	
EMC4	YGL231C	P53073	EMC4_YEAST	S000003200	190	7	
EMC5;KRE27	YIL027C	P40540	EMC5_YEAST	S000001289	141	9	
EMC6	YLL014W	Q12431	EMC6_YEAST	S000003937	108	12	
EMG1;NEP1	YLR186W	Q06287	NEP1_YEAST	S000004176	252	(3)	12
EMI1	YDR512C	Q04406	EMI1_YEAST	S000002920	187	4	
EMI2	YDR516C	Q04409	EMI2_YEAST	S000002924	500	4	
EMP24	YGL200C	P32803	EMP24_YEAST	S000003168	203	7	
EMP46	YLR080W	Q12396	EMP46_YEAST	S000004070	444	(3)	12
EMP47	YFL048C	P43555	EMP47_YEAST	S000001846	445	(3)	6
EMP65	YER140W	P40085	TAPT1_YEAST	S000000942	556	5	
EMP70;TMN1	YLR083C	P32802	TMN1_YEAST	S000004073	667	12	
EMW1	YNL313C	P42842	EMW1_YEAST	S000005257	904	14	
ENA1;HOR6;PMR2;PMR2A	YDR040C	P13587	ATN1_YEAST	S000002447	1091	4	
ENA2;PMR2B	YDR039C	Q01896	ATN2_YEAST	S000002446	1091	4	
ENA5	YDR038C	Q12691	ATN5_YEAST	S000002445	1091	4	
ENB1;ARN4	YOL158C	Q08299	ENB1_YEAST	S000005518	606	15	
END3	YNL084C	P39013	END3_YEAST	S000005028	349	14	
ENO1;ENOA;HSP48	YGR254W	P00924	ENO1_YEAST	S000003486	437	(3)	7
ENO2;ENOB	YHR174W	P00925	ENO2_YEAST	S000001217	437	8	
ENP1;MEG1	YBR247C	P38333	ENP1_YEAST	S000000451	483	2	
ENP2	YGR145W	P48234	NOL10_YEAST	S000003377	707	7	
ENT1	YDL161W	Q12518	ENT1_YEAST	S000002320	454	(3)	4
ENT2	YLR206W	Q05785	ENT2_YEAST	S000004196	613	(3)	12
ENT3	YJR125C	P47160	ENT3_YEAST	S000003886	408	(3)	10
ENT4	YLL038C	Q07872	ENT4_YEAST	S000003961	247	12	
ENT5	YDR153C	Q03769	ENT5_YEAST	S000002560	411	(3)	4
ENV10	YLR065C	Q99382	ENV10_YEAST	S000004055	181	12	
ENV11	YGR071C	P53246	ENV11_YEAST	S000003303	860	7	
ENV7	YPL236C	Q12003	ENV7_YEAST	S000006157	364	16	
ENV9	YOR246C	Q08651	ENV9_YEAST	S000005772	330	15	
EOS1	YNL080C	P53938	EOS1_YEAST	S000005024	366	14	
EPL1	YFL024C	P43572	EPL1_YEAST	S000001870	832	6	
EPS1	YIL005W	P40557	EPS1_YEAST	S000001267	701	9	
EPT1	YHR123W	P22140	EPT1_YEAST	S000001165	391	8	
ERB1	YMR049C	Q04660	ERB1_YEAST	S000004652	807	(3)	13
ERC1	YHR032W	P38767	ERC1_YEAST	S000001074	581	8	
ERD1	YDR414C	P16151	ERD1_YEAST	S000002822	362	4	
ERD2	YBL040C	P18414	ERD2_YEAST	S000000136	219	2	
ERF2	YLR246W	Q06551	ERFB_YEAST	S000004236	359	12	
ERG1	YGR175C	P32476	ERG1_YEAST	S000003407	496	7	
ERG10	YPL028W	P41338	THIL_YEAST	S000005949	398	16	
ERG11;CYP51	YHR007C	P10614	CP51_YEAST	S000001049	530	(3)	8
ERG12;RAR1	YMR208W	P07277	KIME_YEAST	S000004821	443	13	
ERG13;HMGS	YML126C	P54839	HMCS_YEAST	S000004595	491	13	
ERG2	YMR202W	P32352	ERG2_YEAST	S000004815	222	13	
ERG20;BOT3;FDS1;FPP1	YJL167W	P08524	FPPS_YEAST	S000003703	352	10	
ERG24	YNL280C	P32462	ERG24_YEAST	S000005224	438	14	
ERG25;FET6	YGR060W	P53045	MSMO_YEAST	S000003292	309	7	
ERG26	YGL001C	P53199	ERG26_YEAST	S000002969	349	7	
ERG27	YLR100W	Q12452	ERG27_YEAST	S000004090	347	12	
ERG28;BUD18	YER044C	P40030	ERG28_YEAST	S000000846	148	5	
ERG3;PSO6;SYR1	YLR056W	P32353	ERG3_YEAST	S000004046	365	12	
ERG4	YGL012W	P25340	ERG4_YEAST	S000002980	473	7	
ERG5;CYP61	YMR015C	P54781	ERG5_YEAST	S000004617	538	13	
ERG6;ISE1;LIS1;SED6	YML008C	P25087	ERG6_YEAST	S000004467	383	13	
ERG7	YHR072W	P38604	ERG7_YEAST	S000001114	731	8	
ERG8	YMR220W	P24521	ERG8_YEAST	S000004833	451	13	
ERG9	YHR190W	P29704	FDFT_YEAST	S000001233	444	8	
ERI1;RIN1	YPL096C-A	P62651	ERI1_YEAST	S000028423	68	16	
ERJ5	YFR041C	P43613	ERJ5_YEAST	S000001937	295	6	
ERO1	YML130C	Q03103	ERO1_YEAST	S000004599	563	(3)	13
ERP1	YAR002C-A	Q05359	ERP1_YEAST	S000002129	219	1	
ERP2	YAL007C	P39704	ERP2_YEAST	S000000005	215	1	
ERP3	YDL018C	Q12403	ERP3_YEAST	S000002176	225	4	
ERP4	YOR016C	Q12450	ERP4_YEAST	S000005542	207	15	
ERP5	YHR110W	P38819	ERP5_YEAST	S000001152	212	8	
ERP6	YGL002W	P53198	ERP6_YEAST	S000002970	216	7	
ERR1	YOR393W	P0CX10	ERR1_YEAST	S000005920	437	15	
ERR2	YPL281C	P0CX11	ERR2_YEAST	S000006202	437	16	
ERR3	YMR323W	P42222	ERR3_YEAST	S000004942	437	13	
ERS1	YCR075C	P17261	ERS1_YEAST	S000000671	260	3	
ERT1	YBR239C	P38140	ERT1_YEAST	S000000443	529	2	
ERV1	YGR029W	P27882	ERV1_YEAST	S000003261	189	(3)	7
ERV14	YGL054C	P53173	ERV14_YEAST	S000003022	138	7	
ERV15	YBR210W	P38312	ERV15_YEAST	S000000414	142	2	
ERV2	YPR037C	Q12284	ERV2_YEAST	S000006241	196	(3)	16
ERV25	YML012W	P54837	TMEDA_YEAST	S000004473	211	13	
ERV29	YGR284C	P53337	ERV29_YEAST	S000003516	310	7	
ERV41	YML067C	Q04651	ERV41_YEAST	S000004532	352	(3)	13
ERV46	YAL042W	P39727	ERV46_YEAST	S000000040	415	1	
ESA1	YOR244W	Q08649	ESA1_YEAST	S000005770	445	(3)	15
ESBP6;MCH3	YNL125C	P53918	ESBP6_YEAST	S000005069	673	14	
ESC1	YMR219W	Q03661	ESC1_YEAST	S000004832	1658	13	
ESC2	YDR363W	Q06340	ESC2_YEAST	S000002771	456	4	
ESC8	YOL017W	Q08119	ESC8_YEAST	S000005377	714	15	
ESF1	YDR365C	Q06344	ESF1_YEAST	S000002773	628	4	
ESF2;ABT1	YNR054C	P53743	ESF2_YEAST	S000005337	316	14	
ESL1	YIL151C	P40456	ESL1_YEAST	S000001413	1118	9	
ESL2	YKR096W	P36168	ESL2_YEAST	S000001804	1195	11	
ESP1	YGR098C	Q03018	ESP1_YEAST	S000003330	1630	7	
ESS1;PIN1;PTF1	YJR017C	P22696	ESS1_YEAST	S000003778	170	10	
EST1	YLR233C	P17214	EST1_YEAST	S000004223	699	12	
EST2	YLR318W	Q06163	TERT_YEAST	S000004310	884	12	
EST3	YIL009C-A	Q03096	EST3_YEAST	S000006432	181	(3)	9
ETP1	YHL010C	P38748	ETP1_YEAST	S000001002	585	8	
ETR1;MRF1;MRF1'	YBR026C	P38071	ETR1_YEAST	S000000230	380	2	
ETT1	YOR051C	Q08421	ETT1_YEAST	S000005577	412	15	
EUG1	YDR518W	P32474	EUG1_YEAST	S000002926	517	4	
EXG1;BGL1;SCW6	YLR300W	P23776	EXG1_YEAST	S000004291	448	(3)	12
EXG2	YDR261C	P52911	EXG2_YEAST	S000002669	562	4	
EXO1;DHS1	YOR033C	P39875	EXO1_YEAST	S000005559	702	(3)	15
EXO5;DEM1	YBR163W	P38289	EXO5_YEAST	S000000367	585	2	
EXO70	YJL085W	P19658	EXO70_YEAST	S000003621	623	(3)	10
EXO84;USA3	YBR102C	P38261	EXO84_YEAST	S000000306	753	(3)	2
FAA1	YOR317W	P30624	LCF1_YEAST	S000005844	700	15	
FAA2;FAM1	YER015W	P39518	LCF2_YEAST	S000000817	744	5	
FAA3	YIL009W	P39002	LCF3_YEAST	S000001271	694	9	
FAA4	YMR246W	P47912	LCF4_YEAST	S000004860	694	13	
FAB1	YFR019W	P34756	FAB1_YEAST	S000001915	2278	6	
FAD1	YDL045C	P38913	FAD1_YEAST	S000002203	306	(3)	4
FAF1	YIL019W	P40546	FAF1_YEAST	S000001281	346	(3)	9
FAL1	YDR021W	Q12099	FAL1_YEAST	S000002428	399	4	
FAP1	YNL023C	P53971	FAP1_YEAST	S000004968	965	14	
FAP7	YDL166C	Q12055	KAD6_YEAST	S000002325	197	4	
FAR1	YJL157C	P21268	FAR1_YEAST	S000003693	830	10	
FAR10	YLR238W	Q06001	FAR10_YEAST	S000004228	478	12	
FAR11	YNL127W	P53917	FAR11_YEAST	S000005071	953	14	
FAR3	YMR052W	P46671	FAR3_YEAST	S000004656	204	13	
FAR7	YFR008W	P43592	FAR7_YEAST	S000001904	221	6	
FAR8	YMR029C	Q05040	FAR8_YEAST	S000004631	523	13	
FAS1	YKL182W	P07149	FAS1_YEAST	S000001665	2051	(3)	11
FAS2	YPL231W	P19097	FAS2_YEAST	S000006152	1887	(3)	16
FAT1	YBR041W	P38225	FAT1_YEAST	S000000245	669	2	
FAU1	YER183C	P40099	FTHC_YEAST	S000000985	211	5	
FBA1	YKL060C	P14540	ALF_YEAST	S000001543	359	11	
FBP1	YLR377C	P09201	F16P_YEAST	S000004369	348	12	
FBP26	YJL155C	P32604	F26_YEAST	S000003691	452	10	
FCF1	YDR339C	Q05498	FCF1_YEAST	S000002747	189	4	
FCF2	YLR051C	Q12035	FCF2_YEAST	S000004041	217	12	
FCP1	YMR277W	Q03254	FCP1_YEAST	S000004890	732	13	
FCY1	YPR062W	Q12178	FCY1_YEAST	S000006266	158	(3)	16
FCY2	YER056C	P17064	FCY2_YEAST	S000000858	533	5	
FCY21;FCYY	YER060W	P40039	FCY21_YEAST	S000000862	528	5	
FCY22;FCYX	YER060W-A	Q12119	FCY22_YEAST	S000002958	530	5	
FDC1	YDR539W	Q03034	FDC1_YEAST	S000002947	503	(3)	4
FDH1	YOR388C	Q08911	FDH1_YEAST	S000005915	376	15	
FDH2	YPL275W	P0CF35	FDH2_YEAST	S000006196	236	16	
FEN2	YCR028C	P25621	FEN2_YEAST	S000000623	512	3	
FES1	YBR101C	P38260	FES1_YEAST	S000000305	290	2	
FET3	YMR058W	P38993	FET3_YEAST	S000004662	636	(3)	13
FET4	YMR319C	P40988	FET4_YEAST	S000004938	552	13	
FET5	YFL041W	P43561	FET5_YEAST	S000001853	622	6	
FEX1	YOR390W	Q08913	FEX1_YEAST	S000005917	375	15	
FEX2	YPL279C	Q08991	FEX2_YEAST	S000006200	375	16	
FHL1	YPR104C	P39521	FHL1_YEAST	S000006308	936	16	
FHN1	YGR131W	P53279	FHN1_YEAST	S000003363	174	7	
FIG1	YBR040W	P38224	FIG1_YEAST	S000000244	298	2	
FIG2	YCR089W	P25653	FIG2_YEAST	S000000685	1609	3	
FIG4	YNL325C	P42837	FIG4_YEAST	S000005269	879	14	
